name sigma sigma_e
UGC02855 81.8 52.2
UGC02866 128.9 24.1
PGC2393112 253.1 79.8
UGC02881 188.5 14.7
PGC165379 125.2 23.8
NGC1465 267.9 5.5
NGC1465 260.8 7.4
PGC145850 254.7 8.1
NGC1469 259.0 6.6
NGC1469 264.1 6.3
NGC1497 254.8 7.0
UGC02937 234.8 11.2
IC0358 287.1 25.8
IC0358 284.4 7.4
NGC1509 153.5 11.5
PGC014467 292.6 15.4
IC0356 162.5 6.5
PGC2054700 120.3 10.6
IC0359 219.5 8.2
PGC2055576 173.9 7.7
IC0365 250.6 10.6
NGC1551 334.5 9.9
NGC1552 247.6 7.1
2M04212 252.4 13.7
UGC03023 219.6 7.3
UGC03024 290.5 15.4
UGC03024 273.5 25.3
PGC015211 189.9 9.4
NGC1587 239.3 6.0
NGC1589 194.7 4.8
NGC1569 93.8 35.0
2M04310 283.9 18.1
NGC1600 343.6 7.6
PGC165398 196.5 10.9
PGC089985 34.0 54.6
NGC1614 147.3 22.3
NGC1573 305.5 8.7
NGC1615 137.5 9.9
NGC1615 143.3 10.8
MRK0618 84.9 54.8
MRK0618 134.4 38.8
NGC1620 73.7 14.2
2M04370 95.2 18.3
UGC03105 302.1 15.3
PGC3097125 308.6 32.0
PGC015704 138.7 94.4
PGC3097126 187.6 22.8
NGC1637 34.3 17.2
NGC1653 240.1 6.4
UGC03170 203.4 4.9
NGC1667 160.1 4.6
NGC1671 244.9 6.2
PGC016124 328.5 108.6
PGC016124 239.0 85.3
NGC1678 263.3 7.8
PGC168563 461.5 110.7
NGC1684 268.6 6.4
NGC1684 269.8 6.8
PGC016235 693.7 176.3
PGC016235 365.6 51.8
PGC016263 137.5 15.2
NGC1691 172.0 11.4
NGC1700 243.9 5.4
NGC1726 256.3 6.0
PGC097068 158.9 93.3
NGC1779 163.6 10.4
2M05063 250.4 5.3
PGC1530971 236.3 21.5
UGC03252 92.7 7.2
UGC03260 201.6 9.7
NGC1843 23.5 24.6
UGC03271 202.2 24.3
PGC017169 231.5 9.8
PGC017387 316.8 7.5
PGC3097142 154.3 15.4
PGC017603 17.8 29.8
NGC1961 239.6 7.8
NGC1961 220.5 16.8
NGC1961 234.0 18.3
NGC1961 206.9 13.5
PGC2604391 423.6 17.9
UGC03351 178.2 23.3
PGC213322 65.0 30.2
PGC148081 102.2 60.6
NGC2110 233.2 17.1
NGC2119 249.4 8.1
UGC03386 168.9 10.9
NGC2128 251.3 8.6
NGC2128 236.5 7.0
PGC1999078 277.6 14.6
UGC03426 253.2 14.6
UGC03426 233.7 12.8
